"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"043527242X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439064864";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439087597";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439104769";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439135494";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439284031";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439286182";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439286239";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0439317746";"0375901582";"0439317746";"0440228840";"0738205737";"0440414121";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"043935806X";"0345443683";"043935806X";"055310666X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0439401399";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0440111323";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0440122147";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"044020562X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0440218667";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0440220602";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0440221463";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0440225701";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0440225825";"0440225825";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0440228840";"0375901582";"0439317746";"0440228840";"0738205737";"0440414121";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0440236053";"0425189864";"0440236053";"0440241073";"0553586122";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0440241073";"0425189864";"0440236053";"0440241073";"0553586122";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0440241537";"0440241537";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0440295653";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0440414121";"0440414121";"0375901582";"0439317746";"0440228840";"0738205737";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0440498058";"0440498058";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0441005470";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0441008291";"0441008291";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0446310786";"0140182551";"0446310786";"0886776783";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0446364193";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446519480";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446520802";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446522856";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446602485";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446603406";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446605484";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0446609404";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446610038";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0446611212";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0446613843";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0449006522";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0449148831";"0060542845";"0449148831";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060930187"
"0449210197";"0449210197";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0449217264";"0449217264";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0449221148";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0449221512";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451091949";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451097009";"0373250223";"0451097009";"0451179994";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0451166892";"0451166892";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0451167317";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451178017";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451179994";"0373250223";"0451097009";"0451179994";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0451180054";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451188454";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451192001";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451198514";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451207955";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0451454952";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0451527747";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0452282101";"0452282101";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0460010239";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0460905589";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0486282112";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0486424499";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0515131520";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0517093715";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0517642689";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"052165615X";"052165615X";"0521795028";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0521795028";"052165615X";"0521795028";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0552545228";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0552546933";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0552998249";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553095439";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"055310666X";"0345443683";"043935806X";"055310666X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0553140779";"0553140779";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0553211056";"0553211056";"0553285920";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"055321358X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553227041";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553262505";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0553263226";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553266306";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553275283";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0553285920";"0553211056";"0553285920";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0553295098";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553382411";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553561618";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"055356451X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553564994";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553572369";"0553572369";"3499230933";"3596151465";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"055358068X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553581112";"0553581112";"0805047379";"0892964456";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"055358295X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0553586122";"0425189864";"0440236053";"0440241073";"0553586122";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0571058086";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0582530431";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0586207414";"0091830893";"0586207414";"0812571029";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0590108395";"0590108395";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0590259970";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590260251";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"059030271X";"059030271X";"0590470108";"0671021354";"0671026283";"0671027506";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"059035342X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590417827";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590426702";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590436422";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590436449";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590436457";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590436465";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590436481";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"059043649X";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590436503";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590442589";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590442988";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590442996";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590448234";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590448595";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590453661";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590456458";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590456504";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590470108";"059030271X";"0590470108";"0671021354";"0671026283";"0671027506";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0590470485";"0590259970";"0590260251";"0590426702";"0590436422";"0590436449";"0590436465";"0590436481";"059043649X";"0590442589";"0590442996";"0590448234"
"0590483056";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590483404";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0590502123";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0595132189";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0600570967";"0600570967";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0600571165";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0609801279";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0609804138";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0613329740";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0618045996";"0618045996";"3822858617";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"063403541X";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"06514251";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0670894184";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671003755";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671011367";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671021346";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671021354";"059030271X";"0590470108";"0671021354";"0671026283";"0671027506";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0671024094";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0671024108";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"067102423X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671025368";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671026283";"059030271X";"0590470108";"0671021354";"0671026283";"0671027506";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0671027343";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671027506";"059030271X";"0590470108";"0671021354";"0671026283";"0671027506";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0671027662";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671032658";"0671032658";"0812568710";"0843921609";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0671034944";"0671034944";"074931012X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"067104754X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671537458";"0060517794";"0671537458";"0679776818";"0943066433";"1885408226";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0671653849";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671723650";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671727109";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"067172939X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671729438";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671746502";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671749609";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0671793489";"0061081450";"0061083259";"0061087017";"0061094404";"0671793489";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0671876244";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0679450408";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0679721851";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0679745580";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0679776818";"0060517794";"0671537458";"0679776818";"0943066433";"1885408226";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0684801663";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0684845768";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0684846608";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0684867621";"0684867621";"0886773741";"0886777178";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602"
"0684871726";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0688172377";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0688174590";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0689804458";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0689817851";"0060930187";"0375760911";"0689817851";"0874869870";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0691000980";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0699854289";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0701162767";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0701169176";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0713628944";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"0722509049";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0722536283";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0738205737";"0375901582";"0439317746";"0440228840";"0738205737";"0440414121";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0743201604";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"074320607X";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0743407067";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0743407377";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"074343627X";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0743486226";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0747545111";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0747558167";"0747558167";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"074931012X";"0671034944";"074931012X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0749317256";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0749336145";"0749336145";"1899344705";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0749931434";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0751503894";"0385334141";"0425191184";"0751503894";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0752844040";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
